Employee Identification;FirstName;LastName;Starting Day at the Company;Last Day at the Company;Company Internal Title;Employee Reports to;ADEmail;Company Department;Active or Inactive?;EmployeeType;PayZone;EmployeeClassificationType;TerminationType;TerminationDescription;DepartmentType;Division;DOB;State;JobFunctionDescription;GenderCode;LocationCode;MaritalDesc;Performance Score;Current Employee Rating;Annual Gross Fixed Salary (USD)
3 437;Myriam;Givens;2023-08-04;;Area Sales Manager;Troy White;myriam.givens@bilearner.com;SVG;Active;Contract;Zone B;Temporary;Unk;;Sales;Field Ops;1964-01-26;IN;Technician;Female;46 204;Single;Fully Meets;5;70507
3 438;Dheepa;Nguyen;2018-08-10;2019-11-04;Area Sales Manager;Brian Miller;dheepa.nguyen@bilearner.com;MSC;Active;Full-Time;Zone C;Temporary;Retirement;Alone once than. More condition pay far.;Sales;General - Con;1948-04-06;GA;Technician;Female;30 428;Married;Fully Meets;3;76228
3 439;Bartholemew;Khemmich;2022-05-25;2022-11-27;Area Sales Manager;Charles Parks;bartholemew.khemmich@bilearner.com;EW;Active;Full-Time;Zone A;Temporary;Involuntary;Foot in theory minute recognize test.;Sales;Splicing;1981-11-24;CO;Splicer;Male;80 820;Single;Fully Meets;3;56216
3 440;Xana;Potts;2019-12-05;2023-02-17;Area Sales Manager;Gregory Walker;xana.potts@bilearner.com;CCDR;Active;Contract;Zone A;Full-Time;Resignation;Degree wish science when thing week old.;Sales;Finance & Accounting;1951-11-06;KY;Controller;Female;40 220;Divorced;Fully Meets;3;54627
3 441;Prater;Jeremy;2019-04-28;;Area Sales Manager;Tyler Lewis;prater.jeremy@bilearner.com;BPC;Active;Part-Time;Zone A;Part-Time;Unk;;Sales;General - Con;1989-11-21;NV;Lineman;Male;89 139;Widowed;Exceeds;4;66209
3 442;Kaylah;Moon;2019-07-09;2022-06-16;Area Sales Manager;Ashley Scott;kaylah.moon@bilearner.com;PYZ;Active;Full-Time;Zone A;Full-Time;Retirement;Fear particular method stage.;IT/IS;Field Ops;1952-11-24;MA;Laborer;Male;2 810;Single;Exceeds;2;78387
3 443;Kristen;Tate;2021-04-05;2023-05-12;Area Sales Manager;Lauren Jones;kristen.tate@bilearner.com;WBL;Active;Full-Time;Zone C;Part-Time;Voluntary;Wall body wonder successful.;IT/IS;Project Management - Con;1994-04-08;KY;Coordinator;Male;2 621;Widowed;Fully Meets;3;61727
3 444;Bobby;Rodgers;2021-11-28;2022-02-04;Area Sales Manager;Matthew Jackson;bobby.rodgers@bilearner.com;NEL;Active;Contract;Zone A;Part-Time;Voluntary;Visit foot nearly radio treatment.;Sales;Eng;1983-11-15;KY;Director;Male;44 553;Widowed;Fully Meets;3;95762
3 445;Reid;Park;2021-01-16;;Area Sales Manager;Michelle Mitchell;reid.park@bilearner.com;PL;Active;Contract;Zone C;Full-Time;Unk;;Sales;Project Management - Con;1985-12-07;KY;Supervisor;Female;5 360;Married;Exceeds;4;75325
3 446;Hector;Dalton;2021-08-24;;Area Sales Manager;Sydney French;hector.dalton@bilearner.com;BPC;Active;Part-Time;Zone A;Part-Time;Unk;;Sales;Field Operations;1996-05-01;TX;Driller;Female;16 325;Divorced;Exceeds;2;70280
3 447;Mariela;Schultz;2020-05-26;2023-06-18;Area Sales Manager;Michelle Evans MD;mariela.schultz@bilearner.com;CCDR;Future Start;Part-Time;Zone C;Part-Time;Involuntary;Unit pass office southern break one.;Sales;General - Con;1964-02-17;TX;Technician;Female;43 481;Widowed;Fully Meets;3;53884
3 448;Angela;Molina;2019-10-01;2020-11-06;Area Sales Manager;Patricia Cook;angela.molina@bilearner.com;SVG;Future Start;Full-Time;Zone A;Temporary;Retirement;List class mind.;Sales;Eng;1958-05-12;TX;Specialist;Male;50 705;Widowed;Fully Meets;3;112980
3 449;Gerald;Preston;2023-05-10;2023-05-27;Area Sales Manager;Ashley Reeves;gerald.preston@bilearner.com;EW;Future Start;Contract;Zone B;Temporary;Involuntary;Price third parent evening.;Sales;General - Eng;1992-09-18;CO;Technician;Male;5 168;Single;Fully Meets;5;69753
3 450;Reilly;Moyer;2020-09-01;2022-12-04;Area Sales Manager;Stanley Harvey;reilly.moyer@bilearner.com;MSC;Active;Contract;Zone C;Temporary;Resignation;Cause military a sense. Doctor property may.;Sales;Field Operations;1994-08-11;CO;Operator;Male;11 765;Single;Exceeds;2;72244
3 451;Carlee;French;2021-02-18;2022-11-11;Area Sales Manager;Michael Bradshaw;carlee.french@bilearner.com;TNS;Active;Contract;Zone C;Full-Time;Voluntary;Station another son positive.;Sales;General - Con;1968-01-15;CO;Technician;Male;71 071;Divorced;Exceeds;3;73964
3 452;Jaydon;Blackburn;2022-11-08;;Area Sales Manager;Debbie Crosby;jaydon.blackburn@bilearner.com;PYZ;Active;Part-Time;Zone A;Part-Time;Unk;;Sales;General - Con;1947-01-07;IN;Foreman;Male;12 122;Divorced;Fully Meets;2;58376
3 453;Bridger;Carter;2022-10-13;;Area Sales Manager;Elizabeth Taylor;bridger.carter@bilearner.com;WBL;Active;Contract;Zone C;Part-Time;Unk;;Sales;Fielders;1982-04-07;MA;Engineer;Male;87 065;Widowed;Fully Meets;4;78951
3 454;Leon;Beard;2022-09-11;;Area Sales Manager;Brian Dunlap;leon.beard@bilearner.com;PYZ;Active;Full-Time;Zone C;Full-Time;Unk;;IT/IS;General - Con;1970-01-29;KY;Foreman;Male;10 415;Married;Needs Improvement;4;61581
3 455;Charity;Miranda;2021-06-29;2022-07-05;Area Sales Manager;Daniel Rodriguez;charity.miranda@bilearner.com;WBL;Active;Full-Time;Zone C;Temporary;Resignation;Pm local take example fund. Small heavy listen.;Sales;Project Management - Eng;1999-01-18;KY;Manager;Male;3 763;Widowed;Exceeds;4;55134
3 456;Axel;Howe;2023-03-06;;Area Sales Manager;Martin Hammond;axel.howe@bilearner.com;NEL;Active;Full-Time;Zone A;Temporary;Unk;;Sales;Field Ops;1946-09-25;KY;Technician;Female;79 623;Divorced;Fully Meets;3;70586
3 457;Milton;Wall;2020-09-25;;Area Sales Manager;Sara Bell;milton.wall@bilearner.com;PL;Active;Full-Time;Zone B;Temporary;Unk;;Sales;Engineers;1947-08-23;KY;Technician;Female;69 189;Divorced;Needs Improvement;3;94000
3 458;Cory;Robinson;2022-04-28;2023-05-24;Area Sales Manager;Elizabeth Anderson;cory.robinson@bilearner.com;BPC;Future Start;Contract;Zone A;Full-Time;Voluntary;Several young whether that expert.;Sales;Field Operations;1996-08-12;TX;Laborer;Female;5 194;Single;Needs Improvement;3;57915
3 459;Saniya;Yu;2021-04-18;2022-06-21;Area Sales Manager;Erin Bailey;saniya.yu@bilearner.com;CCDR;Future Start;Part-Time;Zone A;Full-Time;Retirement;Science end approach democratic treatment.;Sales;General - Con;1944-02-09;TX;Splicer;Male;8 779;Widowed;Exceeds;2;57043
3 460;Alisa;James;2020-02-19;;Area Sales Manager;Dennis Henderson;alisa.james@bilearner.com;SVG;Active;Full-Time;Zone A;Full-Time;Unk;;Sales;Aerial;1944-02-10;TX;Lineman;Male;74 682;Married;Fully Meets;3;55612
3 461;Lincoln;Compton;2019-07-18;2021-10-01;Area Sales Manager;Tammy Conner;lincoln.compton@bilearner.com;EW;Future Start;Full-Time;Zone C;Part-Time;Resignation;Base scene central unit per argue. Might last of.;Sales;General - Con;1997-12-29;CO;Foreman;Male;78 046;Married;Needs Improvement;1;69975
3 462;Aliana;Nolan;2018-09-13;2021-09-17;Area Sales Manager;Brianna Mathews;aliana.nolan@bilearner.com;MSC;Active;Contract;Zone A;Full-Time;Involuntary;Yourself book budget product.;Sales;Field Operations;1942-08-09;CO;Coordinator;Male;27 270;Divorced;Needs Improvement;3;57017
3 463;Kayden;Dodson;2020-04-30;2021-07-18;Area Sales Manager;Jessica Peters;kayden.dodson@bilearner.com;TNS;Active;Part-Time;Zone A;Temporary;Retirement;Paper can score else investment.;Sales;Field Operations;1951-06-21;IN;Tower Hand;Male;12 703;Single;Fully Meets;1;77510
3 464;James;Duke;2018-12-03;2022-09-09;Area Sales Manager;Mark Harris;james.duke@bilearner.com;PYZ;Active;Contract;Zone B;Full-Time;Involuntary;Stuff different color how.;Sales;Shop (Fleet);1998-06-17;MA;Mechanic;Male;66 835;Widowed;Needs Improvement;5;66585
3 465;Willow;Stuart;2021-11-08;;Area Sales Manager;Elizabeth Tapia;willow.stuart@bilearner.com;WBL;Active;Full-Time;Zone B;Full-Time;Unk;;Sales;General - Con;1962-01-07;MA;Flagger;Male;66 150;Divorced;Needs Improvement;3;77807
3 466;Clayton;Walker;2022-04-13;2023-04-10;Area Sales Manager;Jon Holden;clayton.walker@bilearner.com;PYZ;Active;Part-Time;Zone C;Full-Time;Retirement;Sign figure employee card education.;IT/IS;Aerial;1979-01-26;KY;Supervisor;Male;64 288;Married;Exceeds;4;79764
3 467;Celia;Curtis;2020-05-06;;Area Sales Manager;Michael Odonnell;celia.curtis@bilearner.com;WBL;Active;Contract;Zone A;Part-Time;Unk;;Sales;Fielders;1987-05-14;KY;Engineer;Female;94 333;Divorced;Exceeds;1;68338
3 468;Valentin;Reilly;2019-09-09;;Area Sales Manager;Andres Parker;valentin.reilly@bilearner.com;NEL;Active;Contract;Zone B;Temporary;Unk;;Sales;Wireline Construction;1998-04-26;KY;Foreman;Female;45 453;Single;Fully Meets;4;68738
3 469;Ryland;Shepherd;2020-07-29;2023-01-05;Area Sales Manager;James Berry;ryland.shepherd@bilearner.com;PL;Future Start;Contract;Zone B;Full-Time;Resignation;Right cut matter arrive difference.;Sales;Field Operations;1945-02-21;TX;Driver;Female;81 905;Divorced;Needs Improvement;3;56756
3 470;Esteban;Gilbert;2018-11-14;2019-10-28;Area Sales Manager;Gail Ali;esteban.gilbert@bilearner.com;BPC;Future Start;Contract;Zone C;Part-Time;Retirement;Speak professor statement result.;Sales;Field Ops;1997-05-31;TX;Technician;Female;12 491;Married;Needs Improvement;3;61634
3 471;Jonathan;Adkins;2020-02-29;;Area Sales Manager;John Marshall;jonathan.adkins@bilearner.com;CCDR;Active;Part-Time;Zone C;Temporary;Unk;;Sales;Field Operations;1967-01-03;TX;Foreman;Male;64 350;Married;Fully Meets;4;75414
3 472;Nevaeh;Soto;2023-01-15;;Area Sales Manager;Jessica Chang;nevaeh.soto@bilearner.com;SVG;Active;Contract;Zone C;Full-Time;Unk;;Sales;Project Management - Con;1982-01-12;TX;Director;Male;74 124;Married;Exceeds;4;53328
3 473;Chaim;Mata;2023-06-29;;Area Sales Manager;Desiree Vang;chaim.mata@bilearner.com;EW;Active;Part-Time;Zone A;Temporary;Unk;;Sales;Shop (Fleet);1950-10-01;CO;Manager;Male;33 379;Widowed;Exceeds;2;78262
3 474;Arely;Patton;2020-03-09;;Area Sales Manager;Andrew Goodman;arely.patton@bilearner.com;MSC;Active;Full-Time;Zone A;Temporary;Unk;;Sales;Catv;1965-12-16;CO;Laborer;Male;34 481;Divorced;Fully Meets;2;63037
3 475;Vance;Trujillo;2021-09-21;2023-04-13;Area Sales Manager;Rebecca Simpson;vance.trujillo@bilearner.com;TNS;Active;Full-Time;Zone C;Temporary;Resignation;Expert challenge education air none money wide.;Sales;General - Con;1957-12-25;IN;Foreman;Male;90 406;Widowed;Fully Meets;2;77080
3 476;Charlie;Koch;2023-06-12;2023-07-06;Area Sales Manager;Samantha Cardenas;charlie.koch@bilearner.com;PYZ;Active;Part-Time;Zone A;Temporary;Voluntary;Buy become improve guess business know.;Sales;Fielders;1945-06-20;MA;Engineer;Male;95 774;Divorced;Needs Improvement;2;65703
3 477;Sonny;Horne;2019-04-07;;Area Sales Manager;Nancy Johnson;sonny.horne@bilearner.com;PYZ;Active;Part-Time;Zone A;Full-Time;Unk;;IT/IS;Aerial;1969-12-03;KY;Laborer;Female;16 058;Widowed;Needs Improvement;2;74637
3 478;Thomas;Chandler;2018-09-17;2019-01-09;Area Sales Manager;Richard Hodges;thomas.chandler@bilearner.com;WBL;Active;Full-Time;Zone C;Temporary;Resignation;Read family dark scene scene guess.;Sales;WIRELINE CONSTRUCTION;1957-10-10;KY;Groundman;Female;45 149;Married;Fully Meets;2;62573
3 479;Sarai;Stone;2022-08-02;2023-04-02;Area Sales Manager;Madison Wilson;sarai.stone@bilearner.com;NEL;Active;Contract;Zone A;Part-Time;Involuntary;Somebody great could yet.;Sales;Project Management - Con;1962-05-17;TX;Technician;Female;96 336;Widowed;Fully Meets;2;79746
3 480;Jerimiah;Harmon;2022-09-08;2022-10-16;Area Sales Manager;Eric King;jerimiah.harmon@bilearner.com;PL;Future Start;Full-Time;Zone C;Temporary;Retirement;View vote contain within fight cup party war.;Sales;Catv;1946-08-09;TX;Supervisor;Female;75 671;Widowed;Fully Meets;1;79711
3 481;Leland;Allen;2019-03-07;2021-05-31;Area Sales Manager;Brandon Harris;leland.allen@bilearner.com;BPC;Future Start;Full-Time;Zone C;Part-Time;Voluntary;Buy house certain wrong research chair.;Sales;Wireline Construction;1965-12-11;TX;Splicer;Male;61 149;Widowed;Fully Meets;4;72333
3 482;Cristal;Bolton;2019-10-29;2021-02-07;Area Sales Manager;Matthew Flores;cristal.bolton@bilearner.com;CCDR;Future Start;Full-Time;Zone A;Temporary;Resignation;Miss onto none our discussion year.;Sales;Catv;1990-02-11;TX;Lineman;Male;57 302;Divorced;Needs Improvement;2;61879
3 483;Jaslene;Harding;2021-09-26;;Area Sales Manager;Krystal Hamilton;jaslene.harding@bilearner.com;SVG;Active;Part-Time;Zone B;Temporary;Unk;;Sales;Project Management - Con;1964-06-19;CO;Coordinator;Male;42 605;Widowed;Fully Meets;1;70010
3 484;Albert;Gonzalez;2018-08-29;;Area Sales Manager;Amber Hernandez;albert.gonzalez@bilearner.com;EW;Active;Part-Time;Zone B;Full-Time;Unk;;Sales;General - Con;1995-07-18;CO;Model Assistant;Male;64 036;Single;Fully Meets;4;54405
3 485;Jaiden;Johnson;2021-10-26;;Area Sales Manager;Patricia Smith;jaiden.johnson@bilearner.com;MSC;Active;Contract;Zone C;Full-Time;Unk;;Sales;Field Ops;1994-08-22;CO;Laborer;Male;23 173;Widowed;Fully Meets;5;71641
3 486;Brendon;Mcconnell;2022-10-31;2023-06-08;Area Sales Manager;Victoria Krause;brendon.mcconnell@bilearner.com;TNS;Active;Part-Time;Zone C;Temporary;Involuntary;Nature finish modern push former American.;Sales;Fielders;1990-11-14;IN;Engineer;Male;19 665;Widowed;Fully Meets;4;73895
3 487;Kimora;Parsons;2023-03-15;;Area Sales Manager;Jesse Hunt;kimora.parsons@bilearner.com;BPC;Active;Contract;Zone B;Part-Time;Unk;;Sales;General - Sga;1994-02-01;KY;Administrator;Female;41 161;Divorced;Fully Meets;4;67838
3 488;Willie;Patterson;2022-09-09;;Area Sales Manager;Shane Jones;willie.patterson@bilearner.com;CCDR;Active;Contract;Zone B;Full-Time;Unk;;Sales;Wireline Construction;1997-11-12;KY;Lineman;Female;52 499;Single;Fully Meets;2;62963
3 489;Devyn;Powers;2022-03-04;;Area Sales Manager;Jessica Murphy;devyn.powers@bilearner.com;EW;Active;Part-Time;Zone A;Temporary;Unk;;Sales;Field Ops;1953-05-02;TX;Laborer;Female;25 634;Divorced;Fully Meets;2;66847
3 490;Weston;Preston;2019-02-11;;Area Sales Manager;Crystal Wallace;weston.preston@bilearner.com;MSC;Active;Part-Time;Zone A;Part-Time;Unk;;Sales;General - Sga;1991-07-10;TX;Director;Female;37 965;Divorced;Fully Meets;2;78522
3 491;Lennon;Buchanan;2021-01-26;;Area Sales Manager;Tina Nelson;lennon.buchanan@bilearner.com;NEL;Active;Contract;Zone B;Full-Time;Unk;;Sales;Field Operations;1973-06-02;TX;Driver;Male;39 504;Widowed;Fully Meets;5;64920
3 492;Vicente;Merritt;2019-11-26;;Area Sales Manager;Ashley Smith;vicente.merritt@bilearner.com;PL;Active;Full-Time;Zone C;Full-Time;Unk;;Sales;General - Con;1993-01-08;CO;Clerk;Male;31 676;Married;Fully Meets;1;60745
3 493;Hugo;Clay;2019-07-15;;Area Sales Manager;Eric Taylor;hugo.clay@bilearner.com;PYZ;Active;Full-Time;Zone C;Full-Time;Unk;;Sales;Project Management - Con;1984-04-17;CO;Project Manager;Male;28 784;Widowed;Fully Meets;5;65452
3 494;Cohen;Raymond;2020-06-18;;Area Sales Manager;Jacob Snyder;cohen.raymond@bilearner.com;SVG;Active;Contract;Zone B;Full-Time;Unk;;Sales;General - Con;1994-02-08;CO;Technician;Male;90 983;Single;Fully Meets;4;75438
3 495;Tia;Ellis;2023-06-22;2023-07-22;Area Sales Manager;Daniel Cabrera;tia.ellis@bilearner.com;TNS;Active;Part-Time;Zone B;Temporary;Retirement;Night company image able suggest.;Sales;Wireline Construction;1993-01-27;IN;Laborer;Male;1 115;Married;Fully Meets;4;71614
3 496;Aspen;Bentley;2021-12-02;;Area Sales Manager;Barbara Garcia;aspen.bentley@bilearner.com;WBL;Active;Contract;Zone A;Part-Time;Unk;;Sales;General - Sga;1964-09-19;CA;Administrator;Male;72 233;Widowed;Fully Meets;5;60125
3 497;Graham;Rodriguez;2021-12-08;;Area Sales Manager;Kendra Murray;graham.rodriguez@bilearner.com;TNS;Active;Part-Time;Zone C;Temporary;Unk;;Sales;Project Management - Con;1981-02-18;OR;Lineman;Female;58 210;Widowed;Fully Meets;1;63088
3 498;Joel;Mcmillan;2023-04-26;2023-06-22;Area Sales Manager;Peter Harvey;joel.mcmillan@bilearner.com;PYZ;Active;Full-Time;Zone A;Full-Time;Voluntary;About allow article. For gas player magazine.;Sales;General - Sga;1998-10-17;KY;Laborer;Female;36 087;Widowed;Fully Meets;2;74572
3 499;Maci;Frost;2018-09-25;2021-12-20;Area Sales Manager;Patrick Daniel;maci.frost@bilearner.com;WBL;Active;Part-Time;Zone C;Temporary;Involuntary;Seem hand dog. Us six beyond place fund well.;Sales;Field Ops;1971-01-16;KY;Technician;Female;61 457;Widowed;Fully Meets;5;74685
3 500;Nevaeh;Lucas;2018-11-20;2020-06-21;Area Sales Manager;Bryan Douglas;nevaeh.lucas@bilearner.com;NEL;Active;Full-Time;Zone B;Part-Time;Voluntary;Game hour boy not write somebody owner.;Sales;Shop (Fleet);2000-02-25;TX;Mechanic;Female;80 424;Divorced;Fully Meets;1;66224
3 501;Garrett;Zimmerman;2020-08-30;2022-08-30;Area Sales Manager;Destiny Hopkins;garrett.zimmerman@bilearner.com;PL;Future Start;Part-Time;Zone A;Part-Time;Retirement;Worker medical commercial participant tough leg.;Sales;General - Con;1959-04-19;TX;Technician;Male;6 240;Widowed;Fully Meets;4;57236
3 502;Eugene;Marks;2019-10-01;;Area Sales Manager;Angela Morris;eugene.marks@bilearner.com;BPC;Active;Full-Time;Zone C;Temporary;Unk;;Sales;Splicing;1976-06-29;TX;Electrician;Male;49 914;Married;Fully Meets;1;75581
3 503;Geovanni;Pugh;2022-01-20;;Area Sales Manager;Erica Franklin;geovanni.pugh@bilearner.com;CCDR;Active;Part-Time;Zone A;Temporary;Unk;;Sales;Project Management - Con;1951-07-27;CO;Manager;Male;71 319;Single;Fully Meets;4;53816
3 504;Javon;Kelley;2021-10-10;;Area Sales Manager;Gabriela Orr;javon.kelley@bilearner.com;SVG;Active;Full-Time;Zone B;Part-Time;Unk;;Sales;General - Con;1980-08-23;CO;Laborer;Male;27 992;Married;Fully Meets;2;54799
3 505;Amaya;Hicks;2020-08-29;;Area Sales Manager;Michael Wilkins;amaya.hicks@bilearner.com;EW;Active;Contract;Zone B;Temporary;Unk;;Sales;Field Operations;1943-07-24;IN;Groundman;Male;72 324;Widowed;Fully Meets;1;73780
3 506;Laila;Woodard;2019-08-27;2023-05-10;Area Sales Manager;Jordan Vega;laila.woodard@bilearner.com;MSC;Active;Full-Time;Zone B;Temporary;Voluntary;Fund nor half early miss follow.;Sales;Field Operations;1988-07-06;IN;Technician;Male;38 740;Married;Fully Meets;2;61840
3 507;Ivan;Huff;2021-02-25;2023-04-07;Area Sales Manager;John Miller;ivan.huff@bilearner.com;TNS;Active;Full-Time;Zone A;Full-Time;Retirement;Line later deal stand sometimes too mind.;Sales;Project Management - Con;1973-03-24;CA;Manager;Male;9 437;Single;Fully Meets;4;71510
3 508;Aidan;Harding;2021-07-13;;Area Sales Manager;Trevor Adkins;aidan.harding@bilearner.com;CCDR;Active;Full-Time;Zone B;Part-Time;Unk;;Sales;Aerial;1942-05-26;OR;Laborer;Male;9 385;Single;Fully Meets;5;77848
3 509;Cruz;Boyer;2021-04-14;;Area Sales Manager;Marcus Hunt;cruz.boyer@bilearner.com;BPC;Active;Part-Time;Zone C;Full-Time;Unk;;Sales;General - Sga;1977-11-04;KY;Project Controls;Female;75 993;Married;Fully Meets;2;57427
3 510;Raven;Koch;2020-02-10;;Area Sales Manager;Jennifer King;raven.koch@bilearner.com;PYZ;Active;Part-Time;Zone A;Full-Time;Unk;;Sales;General - Con;1956-10-17;KY;Laborer;Female;65 329;Married;Fully Meets;2;56076
3 511;Karli;Barker;2021-08-17;2021-12-31;Area Sales Manager;Shawn Dudley;karli.barker@bilearner.com;WBL;Active;Part-Time;Zone B;Full-Time;Resignation;Tell paper every.;Sales;Finance & Accounting;1997-02-18;KY;Director;Female;41 111;Divorced;Fully Meets;4;54254
3 512;Tyrone;Sosa;2023-04-17;2023-06-22;Area Sales Manager;Lindsay Chang;tyrone.sosa@bilearner.com;NEL;Future Start;Contract;Zone C;Temporary;Voluntary;Why sport must page bad.;Sales;Yard (Material Handling);1996-10-25;TX;Coordinator;Female;58 860;Single;Fully Meets;2;55929
3 513;Damaris;Cisneros;2022-09-02;2023-05-24;Area Sales Manager;Sharon Ruiz;damaris.cisneros@bilearner.com;PL;Future Start;Contract;Zone C;Temporary;Involuntary;Something sense information final building.;Sales;General - Con;1959-11-13;TX;Laborer;Male;93 051;Married;Fully Meets;5;56557
3 514;Alexus;Estes;2020-04-15;;Area Sales Manager;April Randolph;alexus.estes@bilearner.com;BPC;Active;Full-Time;Zone B;Part-Time;Unk;;Sales;WIRELINE CONSTRUCTION;1958-01-03;TX;Manager;Male;17 419;Married;Fully Meets;1;77933
3 515;Kinsley;Flowers;2022-03-09;2022-12-10;Area Sales Manager;Mary Reilly;kinsley.flowers@bilearner.com;CCDR;Future Start;Part-Time;Zone A;Part-Time;Retirement;School see rest firm I.;Sales;Fin & Acc;1997-04-29;CO;Controller;Male;59 593;Single;Fully Meets;4;56643
3 516;Deborah;Love;2022-04-07;2023-01-22;Area Sales Manager;Eric Goodman;deborah.love@bilearner.com;SVG;Active;Contract;Zone B;Part-Time;Retirement;Source doctor rock group this.;Sales;Project Management - Con;1988-06-25;CO;Coordinator;Male;96 350;Divorced;Fully Meets;5;55578
3 517;Milagros;Francis;2020-02-19;;Area Sales Manager;Caleb Schneider;milagros.francis@bilearner.com;EW;Active;Part-Time;Zone A;Part-Time;Unk;;Sales;Splicing;1942-01-04;IN;Splicer;Male;44 469;Widowed;Fully Meets;4;65626
3 518;Roberto;Michael;2021-04-10;2022-07-04;Area Sales Manager;Cheryl Henry;roberto.michael@bilearner.com;MSC;Active;Contract;Zone B;Part-Time;Involuntary;Little imagine career he produce program.;Sales;General - Eng;1969-05-24;CA;Coordinator;Female;13 249;Married;Fully Meets;2;75786
3 519;Elaine;Ewing;2021-12-19;2022-03-02;Area Sales Manager;Dan Hernandez;elaine.ewing@bilearner.com;TNS;Active;Part-Time;Zone C;Temporary;Resignation;Your very trip successful memory to while out.;Sales;Aerial;1951-03-28;CA;Groundman;Male;17 123;Widowed;Fully Meets;2;59402
3 520;Caiden;Munoz;2020-12-13;2023-01-13;Area Sales Manager;Teresa Daniel;caiden.munoz@bilearner.com;TNS;Active;Full-Time;Zone C;Temporary;Involuntary;Red some option.;Sales;Project Management - Con;1963-03-01;ND;Manager;Female;18 983;Divorced;Fully Meets;1;78446
3 521;Jocelyn;Bradford;2019-02-26;;Area Sales Manager;Melissa Decker;jocelyn.bradford@bilearner.com;WBL;Active;Contract;Zone C;Part-Time;Unk;;Sales;General - Con;1949-04-16;KY;Electrician;Female;51 795;Divorced;Fully Meets;4;71486
3 522;Marques;Armstrong;2020-03-02;;Area Sales Manager;Michael Nguyen;marques.armstrong@bilearner.com;BPC;Active;Full-Time;Zone C;Part-Time;Unk;;Sales;Splicing;1983-10-12;KY;Splicer;Female;34 369;Single;Fully Meets;1;64351
3 523;Rohan;Chapman;2021-06-25;2022-08-25;Area Sales Manager;Tony Mcconnell;rohan.chapman@bilearner.com;CCDR;Active;Full-Time;Zone A;Temporary;Resignation;Theory grow future week house.;Sales;General - Con;1978-12-19;KY;Laborer;Female;23 092;Single;Fully Meets;2;67410
